2024-09-12-00:50:20 , ETL Job Started
2024-09-12-00:50:20 , Extract phase Started
2024-09-12-00:50:20 , Extract phase Ended
2024-09-12-00:50:20 , Transform phase Started
2024-09-12-00:50:20 , Transform phase Ended
2024-09-12-00:50:20 , Load phase Started
2024-09-12-00:50:20 , Load phase Ended
2024-09-12-00:50:20 , ETL Job Ended
2024-09-12-01:55:54 , ETL Job Started
2024-09-12-01:55:54 , Extract phase Started
2024-09-12-01:55:54 , Extract phase Ended
2024-09-12-01:55:54 , Transform phase Started
2024-09-12-01:55:54 , Transform phase Ended
2024-09-12-01:55:54 , Load phase Started
2024-09-12-01:55:54 , Load phase Ended
2024-09-12-01:55:54 , ETL Job Ended
2024-09-12-01:56:12 , ETL Job Started
2024-09-12-01:56:12 , Extract phase Started
2024-09-12-01:56:12 , Extract phase Ended
2024-09-12-01:56:12 , Transform phase Started
2024-09-12-01:56:12 , Transform phase Ended
2024-09-12-01:56:12 , Load phase Started
2024-09-12-01:56:12 , Load phase Ended
2024-09-12-01:56:12 , ETL Job Ended
2024-09-12-01:57:21 , ETL Job Started
2024-09-12-01:57:21 , Extract phase Started
2024-09-12-01:57:21 , Extract phase Ended
2024-09-12-01:57:21 , Transform phase Started
2024-09-12-01:57:21 , Transform phase Ended
2024-09-12-01:57:21 , Load phase Started
2024-09-12-01:57:21 , Load phase Ended
2024-09-12-01:57:21 , ETL Job Ended
2024-09-12-01:59:50 , ETL Job Started
2024-09-12-01:59:50 , Extract phase Started
2024-09-12-01:59:50 , Extract phase Ended
2024-09-12-01:59:50 , Transform phase Started
2024-09-12-01:59:50 , Transform phase Ended
2024-09-12-01:59:50 , Load phase Started
2024-09-12-01:59:50 , Load phase Ended
2024-09-12-01:59:50 , ETL Job Ended
2024-09-12-02:00:12 , ETL Job Started
2024-09-12-02:00:12 , Extract phase Started
2024-09-12-02:00:12 , Extract phase Ended
2024-09-12-02:00:12 , Transform phase Started
2024-09-12-02:00:12 , Transform phase Ended
2024-09-12-02:00:12 , Load phase Started
2024-09-12-02:00:12 , Load phase Ended
2024-09-12-02:00:12 , ETL Job Ended
2024-09-12-02:01:01 , ETL Job Started
2024-09-12-02:01:01 , Extract phase Started
2024-09-12-02:01:01 , Extract phase Ended
2024-09-12-02:01:01 , Transform phase Started
2024-09-12-02:01:01 , Transform phase Ended
2024-09-12-02:01:01 , Load phase Started
2024-09-12-02:01:01 , Load phase Ended
2024-09-12-02:01:01 , ETL Job Ended
2024-09-12-02:06:52 , ETL Job Started
2024-09-12-02:06:52 , Extract phase Started
2024-09-12-02:06:52 , Extract phase Ended
2024-09-12-02:06:52 , Transform phase Started
2024-09-12-02:06:52 , Transform phase Ended
2024-09-12-02:06:52 , Load phase Started
2024-09-12-02:06:52 , Load phase Ended
2024-09-12-02:06:52 , ETL Job Ended
2024-09-12-02:08:23 , ETL Job Started
2024-09-12-02:08:23 , Extract phase Started
2024-09-12-02:08:23 , Extract phase Ended
2024-09-12-02:08:23 , Transform phase Started
2024-09-12-02:08:23 , Transform phase Ended
2024-09-12-02:08:23 , Load phase Started
2024-09-12-02:08:23 , Load phase Ended
2024-09-12-02:08:23 , ETL Job Ended
2024-09-12-02:09:17 , ETL Job Started
2024-09-12-02:09:17 , Extract phase Started
2024-09-12-02:09:17 , Extract phase Ended
2024-09-12-02:09:17 , Transform phase Started
2024-09-12-02:09:17 , Transform phase Ended
2024-09-12-02:09:17 , Load phase Started
2024-09-12-02:09:17 , Load phase Ended
2024-09-12-02:09:17 , ETL Job Ended
2024-09-12-02:09:42 , ETL Job Started
2024-09-12-02:09:42 , Extract phase Started
2024-09-12-02:09:42 , Extract phase Ended
2024-09-12-02:09:42 , Transform phase Started
2024-09-12-02:09:42 , Transform phase Ended
2024-09-12-02:09:42 , Load phase Started
2024-09-12-02:09:42 , Load phase Ended
2024-09-12-02:09:42 , ETL Job Ended
2024-09-12-02:11:06 , ETL Job Started
2024-09-12-02:11:06 , Extract phase Started
2024-09-12-02:11:06 , Extract phase Ended
2024-09-12-02:11:06 , Transform phase Started
2024-09-12-02:11:06 , Transform phase Ended
2024-09-12-02:11:06 , Load phase Started
2024-09-12-02:11:06 , Load phase Ended
2024-09-12-02:11:06 , ETL Job Ended
2024-09-12-02:11:18 , ETL Job Started
2024-09-12-02:11:18 , Extract phase Started
2024-09-12-02:11:18 , Extract phase Ended
2024-09-12-02:11:18 , Transform phase Started
2024-09-12-02:11:18 , Transform phase Ended
2024-09-12-02:11:18 , Load phase Started
2024-09-12-02:11:18 , Load phase Ended
2024-09-12-02:11:18 , ETL Job Ended
2024-09-12-02:14:23 , ETL Job Started
2024-09-12-02:14:23 , Extract phase Started
2024-09-12-02:14:23 , Extract phase Ended
2024-09-12-02:14:23 , Transform phase Started
2024-09-12-02:14:23 , Transform phase Ended
2024-09-12-02:14:23 , Load phase Started
2024-09-12-02:14:23 , Load phase Ended
2024-09-12-02:14:23 , ETL Job Ended
